"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC#","manf#","Proveedor"
"J5","~","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","","C18197999","PZ254-2-04-Z-2.5-G1","LCSC"
"J3","Analog","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1","","","PRT-14322 ","MOUSER"
"J2,J4","Digital/PWM","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","2","","","PRT-14322 ","MOUSER"
"J1","Power","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1","","","PRT-14322 ","MOUSER"
"R1,R2","60","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","","KTR18EZPF62R0","MOUSER"
"R9","22","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","","KTR18EZPF22R0","MOUSER"
"R8","2K","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","","KTR18EZPF2001","MOUSER"
"R3,R4,R5,R6,R7","10K","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","5","","","KTR18EZPF1002","MOUSER"
"C3","1000pF","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_serial_en.pdf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","CEU4J2X7R2A102M125AE","MOUSER"
"C4,C5,C6,C7,C9","4.7uF","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_cna_en.pdf","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","5","","","810-CNA6P1X7R2A475K2","MOUSER"
"C1,C2","0.1u","https://www.lcsc.com/datasheet/lcsc_datasheet_2411220213_FH--Guangdong-Fenghua-Advanced-Tech-0805B104K500NT_C38141.pdf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","767-0805B104K500NT","MOUSER"
"U1","TLE9371VSJ","https://www.infineon.com/cms/en/product/transceivers/automotive-transceiver/automotive-can-transceivers/tle9371vsj/","Package_SO:Infineon_PG-DSO-8-27_3.9x4.9mm_EP2.65x3mm","1","","","726-TLE9371VSJXTMA1","MOUSER"
"U2,U3","2EDN7534F","https://www.infineon.com/dgdl/Infineon-2EDN7534F-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c7dbca96b017dc2384b2f4c3a","Package_SO:Infineon_PG-DSO-8-27_3.9x4.9mm_EP2.65x3mm","2","","","726-2EDN7534FXTMA1","MOUSER"
"J6,J8","Grove connector","https://statics3.seeedstudio.com/images/opl/datasheet/3470130P1.pdf","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","2","","","713-110990030","MOUSER"
"C8","100uF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1184.pdf","Capacitor_SMD:CP_Elec_6.3x7.7","1","","","667-EEE-FPV101XAP","MOUSER"
"J9","Screw_Terminal_01x08","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-8-508-1729186?type=pdf","TerminalBlock:TerminalBlock_bornier-8_P5.08mm","1","","","651-1729186","MOUSER"
"J7","Screw_Terminal_01x02","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1","","","651-1729128","MOUSER"
"IC1","TL4050A50IDBZT","http://www.ti.com/lit/gpn/TL4050A","Package_TO_SOT_SMD:SOT-23-3","1","","","595-TL4050A50IDBZT","MOUSER"
"D8","SMBJ16A","https://www.tme.eu/Document/0b6222bec7e12d83185b51d73cb6a54d/SMBJ_ser.pdf","Diode_SMD:D_SMB","1","","","576-SMBJ16A","MOUSER"
"D9","STPS3L40UF","https://www.tme.eu/Document/dd24d122e362fb2fc1d97f4b9052163a/stps3l40.pdf","Diode_SMD:D_SMB","1","","","511-STPS3L40UF","MOUSER"
"D3,D4,D5,D6,D7","STPS1L40ZF","https://hu.mouser.com/datasheet/2/389/stps1l40-1851775.pdf","Diode_SMD:D_SOD-123","5","","","511-STPS1L40ZF","MOUSER"
"D1,D2","ESDA041-1JY","https://hu.mouser.com/datasheet/2/389/esda041_1jy-1849178.pdf","PCM_Diode_SMD_AKL:D_SOD-323","2","","","511-ESDA041-1JY","MOUSER"
